name,ap_test_score,mean_ap_train_score,mean_ap_validate_score,f1_test_score,recall_test_score,precision_test_score,accuracy_test_score,Power Transformed
LogisticRegressionElasticNet_Base,0.10750922719335515,0.08503975791406804,0.08542115771636698,0.0,0.0,0.0,0.9828200559938916,Duration
LogisticRegressionLasso_Base,0.10611930275743725,0.08638444284580686,0.08533187146428732,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Net Sales, Age"
LogisticRegressionRidge_Base,0.10829084352570148,0.08615828866352773,0.0853187350100023,0.0,0.0,0.0,0.9828200559938916,"Duration, Net Sales, Age"
LogisticRegressionElasticNet_Base,0.10758365454822533,0.0857740316511959,0.08530141134454612,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Net Sales, Age"
LogisticRegressionLasso_Base,0.1030945101159554,0.08683011281155711,0.08528665414863042,0.0,0.0,0.0,0.9828200559938916,"Commission, Net Sales"
LogisticRegressionBase_Base,0.10225612514145122,0.08717640547314387,0.08528155910732861,0.0,0.0,0.0,0.9828200559938916,"Commission, Net Sales"
LogisticRegressionLasso_Base,0.10639873328069048,0.0864342910921697,0.08528045339217058,0.0,0.0,0.0,0.9828200559938916,"Duration, Net Sales, Age"
LogisticRegressionRidge_Base,0.10537254880520117,0.08616524644083343,0.0852778579044416,0.0,0.0,0.0,0.9828200559938916,"Commission, Net Sales, Age"
LogisticRegressionElasticNet_Base,0.10551020488374763,0.08593567052232645,0.0852508605798811,0.0,0.0,0.0,0.9828200559938916,"Commission, Net Sales, Age"
LogisticRegressionLasso_Base,0.10321074956843225,0.08682727057932804,0.08525004845674032,0.0,0.0,0.0,0.9828200559938916,Net Sales
LogisticRegressionBase_Base,0.10460376203041914,0.08603532383738403,0.0852292987720345,0.0,0.0,0.0,0.9828200559938916,Duration
LogisticRegressionBase_Base,0.1055931868170382,0.0867698137115832,0.08517623227557283,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Net Sales, Age"
LogisticRegressionElasticNet_Base,0.10608823332471726,0.08602173558288875,0.08514946261837811,0.0,0.0,0.0,0.9828200559938916,"Net Sales, Age"
LogisticRegressionRidge_Base,0.10729863192419216,0.08594433066158956,0.08512687426865401,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission, Net Sales, Age"
LogisticRegressionLasso_Base,0.1076802183168503,0.0845390037498528,0.08507467272131504,0.0,0.0,0.0,0.9828200559938916,Duration
LogisticRegressionLasso_Base,0.1039774973324267,0.08651116232545711,0.08499401047454293,0.0,0.0,0.0,0.9828200559938916,"Commission, Net Sales, Age"
LogisticRegressionRidge_Base,0.1057954088565075,0.08636630855979706,0.08497198007570698,0.0,0.0,0.0,0.9828200559938916,"Net Sales, Age"
LogisticRegressionElasticNet_Base,0.10580494683052508,0.08484611266671828,0.08491816080449328,0.0,0.0,0.0,0.9828200559938916,None
LogisticRegressionRidge_Base,0.1063883248659801,0.08523703212450776,0.08491741552126136,0.0,0.0,0.0,0.9828200559938916,Duration
LogisticRegressionBase_Base,0.10676485586988722,0.08726272298760193,0.08490139110936082,0.0,0.0,0.0,0.9828200559938916,Net Sales
LogisticRegressionLasso_Base,0.10402765542311225,0.08662072432607729,0.08489692595244658,0.0,0.0,0.0,0.9828200559938916,"Net Sales, Age"
LogisticRegressionBase_Base,0.10460187284566762,0.08549994405380454,0.08488311033262723,0.0,0.0,0.0,0.9828200559938916,None
LogisticRegressionBase_Base,0.10607452655596364,0.08686416491735763,0.08470526635732209,0.0,0.0,0.0,0.9828200559938916,"Duration, Net Sales, Age"
LogisticRegressionBase_Base,0.10297161193748393,0.08701687917015379,0.08452819690083682,0.0,0.0,0.0,0.9828200559938916,"Net Sales, Age"
LogisticRegressionElasticNet_Base,0.10808326316741895,0.08362135379189961,0.08449305987913944,0.0,0.0,0.0,0.9828200559938916,"Duration, Age"
LogisticRegressionBase_Base,0.10317038347830887,0.08707204611580885,0.08445565176510386,0.0,0.0,0.0,0.9828200559938916,"Commission, Net Sales, Age"
LogisticRegressionRidge_Base,0.10495113057740679,0.08507665135166283,0.08443812916239839,0.0,0.0,0.0,0.9828200559938916,None
LogisticRegressionLasso_Base,0.10606908046211885,0.08432703944145092,0.08442847774525743,0.0,0.0,0.0,0.9828200559938916,None
LogisticRegressionRidge_Base,0.10728344096522327,0.08388030225932383,0.08429274244462193,0.0,0.0,0.0,0.9828200559938916,"Duration, Age"
LogisticRegressionLasso_Base,0.10732227678716176,0.08365386142933245,0.08425448848599397,0.0,0.0,0.0,0.9828200559938916,"Duration, Commission"
LogisticRegressionLasso_Base,0.10613032305210594,0.08323363160504064,0.08382233032581277,0.0,0.0,0.0,0.9828200559938916,Commission
