name,ap_test_score,mean_ap_train_score,mean_ap_validate_score,f1_test_score,recall_test_score,precision_test_score,accuracy_test_score
LogisticRegressionElasticNet_RandomOverSampler_SFM_GB_1.5mean,0.10294101060276642,0.08240989319994031,0.08512020888234806,0.12685560053981107,0.6962962962962963,0.06978470675575353,0.8353270552303385
LogisticRegressionBase_RandomOverSampler_SFM_GB_mean,0.10162172974233719,0.08211328510216284,0.08509469559882418,0.12926136363636365,0.674074074074074,0.07148468185388845,0.8439806566556376
LogisticRegressionLasso_RandomOverSampler_SFM_GB_1.5mean,0.10291186800153891,0.08218801884842816,0.08509236239402762,0.12685560053981107,0.6962962962962963,0.06978470675575353,0.8353270552303385
LogisticRegressionLasso_RandomOverSampler_SFM_GB_mean,0.10315268007904045,0.08222847220951487,0.08508384572479999,0.12550607287449392,0.6888888888888889,0.06904231625835189,0.8350725375413591
LogisticRegressionRidge_Baseline_FDR_0.005,0.10781660409037831,0.08379162445043822,0.0849888533501199,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionBase_Baseline_FDR_0.005,0.10642410994276659,0.08390704186545203,0.08497802946797882,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionRidge_Baseline_FDR_0.25,0.10731932289001751,0.08571695635677053,0.08497417049453493,0.0,0.0,0.0,0.9828200559938916
GradientBoost_Baseline_FDR_0.005,0.10502266065538325,0.19767808752506108,0.08480603983420873,0.0,0.0,0.0,0.9825655383049122
GradientBoost_RandomOverSampler_None,0.1032127361630685,0.1197422063238425,0.08478294357451908,0.12117426608369769,0.7185185185185186,0.06616643929058663,0.8209468058030033
LogisticRegressionElasticNet_Baseline_FDR_0.005,0.10785045178871205,0.08379204523819665,0.08453723997692962,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionLasso_Baseline_FDR_0.005,0.10590824153274761,0.08429503770136673,0.08451412733631326,0.0,0.0,0.0,0.9828200559938916
LogisticRegressionElasticNet_RandomOverSampler_FDR_0.05,0.10534510075047504,0.0833694886602506,0.08405402752134103,0.11582089552238806,0.7185185185185186,0.06298701298701298,0.8115296513107662
LogisticRegressionElasticNet_RandomOverSampler_FDR_0.5,0.10495503225543104,0.084811998414265,0.08404960286493432,0.11650485436893204,0.7111111111111111,0.06345009914077991,0.8147111224230084
LogisticRegressionRidge_RandomOverSampler_FDR_0.5,0.10504712533732512,0.0847601797514575,0.08403062266021687,0.1162227602905569,0.7111111111111111,0.06328279499011207,0.8142020870450496
LogisticRegressionRidge_RandomOverSampler_FDR_0.05,0.10538374506725777,0.08336069676526318,0.08401363500079126,0.11589008363201912,0.7185185185185186,0.06302794022092267,0.8116569101552558
GradientBoost_RandomOverSampler_SFM_GB_mean,0.10012340905925354,0.12253049507394516,0.08382699635114618,0.11979166666666667,0.6814814814814815,0.06566738044254104,0.8279460422499364
LogisticRegressionBase_RandomOverSampler_FDR_0.05,0.10496110507792479,0.08334227747405396,0.08380898484765799,0.11609814482345901,0.7185185185185186,0.06315104166666667,0.8120386866887249
LogisticRegressionBase_RandomOverSampler_FDR_0.5,0.10480866101911603,0.08475745539425372,0.08366854787094827,0.11714460036607688,0.7111111111111111,0.06382978723404255,0.8158564520234156
LogisticRegressionLasso_RandomOverSampler_FDR_0.05,0.10515769829082286,0.08334093261517475,0.08364434197119128,0.11602870813397129,0.7185185185185186,0.0631099544567339,0.8119114278442352
LogisticRegressionElasticNet_RandomOverSampler_FDR_0.01,0.10838229776892949,0.08222228890520486,0.0834760121256284,0.11722054380664652,0.7185185185185186,0.06381578947368421,0.81407482820056
LogisticRegressionRidge_RandomOverSampler_FDR_0.01,0.10862087550599503,0.08216749338969791,0.08336811139327445,0.11686746987951807,0.7185185185185186,0.06360655737704918,0.8134385339781115
LogisticRegressionBase_RandomOverSampler_FDR_0.01,0.10900142551419659,0.08226248293785345,0.08330475921197827,0.11686746987951807,0.7185185185185186,0.06360655737704918,0.8134385339781115
LogisticRegressionLasso_RandomOverSampler_FDR_0.01,0.10827323597563929,0.08217629406049587,0.0831781032114521,0.11714975845410629,0.7185185185185186,0.06377383300460224,0.8139475693560703
LogisticRegressionLasso_RandomOverSampler_FDR_0.5,0.10378410589542697,0.0848845346154948,0.08296085699630869,0.11473429951690821,0.7037037037037037,0.062458908612754764,0.8134385339781115
LogisticRegressionBase_RandomOverSampler_FDR_0.25,0.10418402859871403,0.08407941623031918,0.08253999447851311,0.11714460036607688,0.7111111111111111,0.06382978723404255,0.8158564520234156
LogisticRegressionElasticNet_RandomOverSampler_FDR_0.25,0.1049247868166987,0.08408225990514093,0.08251025637105587,0.1158021712907117,0.7111111111111111,0.06303348653972422,0.8134385339781115
LogisticRegressionRidge_RandomOverSampler_FDR_0.25,0.10506092225207053,0.0840127725384808,0.08249450599722517,0.11573236889692586,0.7111111111111111,0.06299212598425197,0.8133112751336218
LogisticRegressionElasticNet_RandomOverSampler_FDR_0.005,0.10836509185543648,0.08103215547953962,0.08244636575766934,0.11700844390832328,0.7185185185185186,0.06369008535784636,0.8136930516670908
LogisticRegressionRidge_RandomOverSampler_FDR_0.005,0.10849071026329231,0.08098314120091135,0.08241208018692833,0.11722054380664652,0.7185185185185186,0.06381578947368421,0.81407482820056
LogisticRegressionElasticNet_RandomOverSampler_None,0.10404412129326024,0.08491116540490817,0.08232663797959724,0.11666666666666667,0.725925925925926,0.0634304207119741,0.811147874777297
LogisticRegressionRidge_RandomOverSampler_None,0.10415575740010187,0.08494574043762908,0.08231462206966668,0.1163895486935867,0.725925925925926,0.0632666236281472,0.8106388393993382
LogisticRegressionBase_RandomOverSampler_FDR_0.005,0.10837995422572533,0.08090031033449614,0.08230767340361193,0.11693791440626884,0.7185185185185186,0.0636482939632546,0.8135657928226012
LogisticRegressionLasso_RandomOverSampler_FDR_0.005,0.10834852143526207,0.08085591391243473,0.08229334819910557,0.11693791440626884,0.7185185185185186,0.0636482939632546,0.8135657928226012
LogisticRegressionLasso_RandomOverSampler_FDR_0.25,0.1037596334216757,0.08400279535361618,0.08228101873344296,0.11529126213592233,0.7037037037037037,0.06278916060806344,0.814456604734029
XGBoost_RandomOverSampler_SFM_LogReg_1.5mean,0.08037386686806178,0.10241972411098602,0.08201137207645658,0.13088235294117648,0.6592592592592592,0.07265306122448979,0.849580045813184
LogisticRegressionBase_RandomOverSampler_None,0.10418015436146258,0.08475507089207603,0.08194675122104764,0.11618257261410789,0.725925925925926,0.06314432989690721,0.8102570628658692
LogisticRegressionLasso_RandomOverSampler_None,0.10372417672744999,0.08460854378376306,0.08173803830807345,0.11517696460707859,0.7111111111111111,0.06266318537859007,0.8122932043777042
GradientBoost_Baseline_FDR_0.01,0.10854239655472978,0.21956972196388178,0.08124329652104548,0.0,0.0,0.0,0.9825655383049122
XGBoost_Baseline_SFM_LogReg_mean,0.08301682687517314,0.0974708923360119,0.07986286020621378,0.0,0.0,0.0,0.9828200559938916
XGBoost_RandomOverSampler_SFM_LogReg_mean,0.09220522888290746,0.10996734365930498,0.07920047755251686,0.13201820940819423,0.6444444444444445,0.073541842772612,0.8544158819037924
GradientBoost_Baseline_None,0.10207896915627182,0.2280695649018873,0.07891486780440887,0.0,0.0,0.0,0.9824382794604225
XGBoost_Baseline_SFM_LogReg_1.5mean,0.0802636713974064,0.09221189189753468,0.07851543535574848,0.0,0.0,0.0,0.9828200559938916
GradientBoost_Baseline_SFM_GB_1.5mean,0.10433341442288223,0.2093382416799688,0.07834936778125814,0.0,0.0,0.0,0.9823110206159328
GradientBoost_Baseline_FDR_0.5,0.10338454993588926,0.22187078491238293,0.0773867685711458,0.0,0.0,0.0,0.9825655383049122
GradientBoost_RandomOverSampler_SFM_LogReg_mean,0.09096180083996781,0.09161457091934103,0.0773593485986607,0.13161875945537066,0.6444444444444445,0.07329401853411963,0.8539068465258336
GradientBoost_Baseline_SFM_GB_mean,0.1034979756605508,0.19620155084450647,0.07721355079306781,0.0,0.0,0.0,0.9825655383049122
GradientBoost_Baseline_FDR_0.25,0.10083903981287363,0.22366868224884368,0.07664111056401754,0.0,0.0,0.0,0.9820565029269535
GradientBoost_Baseline_FDR_0.05,0.10131546010521222,0.22237812478081218,0.0766157533789728,0.0,0.0,0.0,0.9824382794604225
GradientBoost_RandomOverSampler_SFM_LogReg_1.5mean,0.07674170097157301,0.09104180392137477,0.07653367774712158,0.1322314049586777,0.6518518518518519,0.07357859531772576,0.8530160346144057
GradientBoost_Baseline_SFM_LogReg_mean,0.08136397579448908,0.11238310904046019,0.07551593104102979,0.0,0.0,0.0,0.9826927971494018
RandomForest_Baseline_SFM_LogReg_1.5mean,0.06912818376845667,0.13952992534484057,0.07440599348584118,0.0,0.0,0.0,0.9826927971494018
RandomForest_RandomOverSampler_SFM_LogReg_1.5mean,0.06941515621407293,0.14093825657585973,0.07419690346676237,0.13018714401952808,0.5925925925925926,0.07312614259597806,0.8639602952405192
RandomForest_RandomOverSampler_SFM_LogReg_mean,0.08257187905822057,0.144977057313075,0.07385294906470437,0.13322368421052633,0.6,0.07493061979648474,0.8658691779078646
GradientBoost_Baseline_SFM_LogReg_1.5mean,0.08066443481454437,0.11145064501891766,0.07361762770719613,0.0,0.0,0.0,0.9826927971494018
RandomForest_Baseline_SFM_LogReg_mean,0.08170954922639126,0.14347955505885704,0.07357135744560817,0.014492753623188406,0.007407407407407408,0.3333333333333333,0.9826927971494018
XGBoost_RandomOverSampler_FDR_0.005,0.07256534292424469,0.3089465203290539,0.07218702122608771,0.10263522884882108,0.2740740740740741,0.06313993174061433,0.9176635276151692
XGBoost_Baseline_FDR_0.005,0.06409127737867881,0.31316204349425425,0.06973250313814391,0.0,0.0,0.0,0.9824382794604225
XGBoost_Baseline_FDR_0.01,0.077585632898446,0.40876735612366727,0.06838064422704351,0.014084507042253521,0.007407407407407408,0.14285714285714285,0.9821837617714431
XGBoost_RandomOverSampler_FDR_0.25,0.06786617789704369,0.4738604081702292,0.06706484351070921,0.13038130381303814,0.3925925925925926,0.07817109144542773,0.9100279969457877
XGBoost_Baseline_None,0.07092291154262356,0.48054309575964754,0.06703004002174555,0.0,0.0,0.0,0.981801985237974
XGBoost_RandomOverSampler_FDR_0.01,0.07161914055306383,0.41792012786751825,0.06667274466860915,0.11700680272108843,0.31851851851851853,0.07166666666666667,0.9174090099261899
XGBoost_Baseline_FDR_0.5,0.07342086348364928,0.4532817811872034,0.06566504065298473,0.014084507042253521,0.007407407407407408,0.14285714285714285,0.9821837617714431
XGBoost_RandomOverSampler_SFM_GB_mean,0.07998540798276454,0.47908041650657796,0.06286640879952872,0.13398692810457516,0.3037037037037037,0.0859538784067086,0.9325528124204632
XGBoost_Baseline_FDR_0.25,0.0745758716890837,0.4879696757044959,0.06215219455040083,0.014598540145985401,0.007407407407407408,0.5,0.9828200559938916
